Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Austria,AUT,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,1.736798923,2.721214306,1.354255156,0.962126078,2.099141373
Afghanistan,AFG,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,2.805853963,3.735882022,3.548647692,2.595222694,2.390422054
Albania,ALB,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,16.95629093,7.237367709,6.825372096,13.14150215,7.518139312
Australia,AUS,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,..,..,..,..,..
Austria,AUT,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,..,..,..,..,..
Afghanistan,AFG,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.37,2.24,2.3,2.44,2.41
Albania,ALB,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.69,2.68,2.69,2.57,2.5
Australia,AUS,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.67,4.54,4.49,4.39,4.3
Austria,AUT,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.01,2.98,2.97,2.81,2.82
Afghanistan,AFG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,13.45051864,14.18831666,14.48394629,14.68551176,13.9367649
Albania,ALB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,73.31355145,70.65157613,75.0984102,65.23883165,62.87958838
Australia,AUS,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..
Austria,AUT,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.88400092,0.516606368,0.274796599,0.661572002,0.124495944
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,8.69053622,8.805091978,7.855470516,7.946351351,7.797918141
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.472167543,3.560954294,3.632469395,4.292849405,2.809090017
Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-2.088056539,-7.310916958,3.23990498,-6.284657043,-2.948459382
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,169146608,93591315.3,51533896.77,119435105.7,23404553.65
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,989578334.8,1044389555,1022757857,1204383364,1201022154
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,46892808568,42969505135,48198614235,61324623203,39101199005
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-7975773544,-28939340169,13518864836,-28605757320,-13120994313
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,17.3248246,17.42548771,17.42291362,17.42131456,17.42131456
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,47.03332525,47.07695104,47.12045565,47.16396025,47.20746486
Afghanistan,AFG,Forest area (sq. km),AG.LND.FRST.K2,12084.4,12084.4,12084.4,12084.4,12084.4
Albania,ALB,Forest area (sq. km),AG.LND.FRST.K2,7891.875,7891.8,7889.025,7889,7889
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1330945,1340372,1340174,1340051,1340051
Austria,AUT,Forest area (sq. km),AG.LND.FRST.K2,38811.9,38847.9,38883.8,38919.7,38955.6
Afghanistan,AFG,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.301980808,0.351214676,0.287445621,0.300160885,0.332816377
Albania,ALB,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.191365197,0.15702342,0.183385376,0.17992859,0.138103571
Australia,AUS,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.11603879,0.136149006,0.194302214,0.172553354,0.176488836
Austria,AUT,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.069880627,0.06436532,0.060150434,0.078185909,0.060437782
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,19134211764,19566705070,20084636379,20323488525,21118462797
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,11386850130,11764322012,12211628287,12702457551,12967692915
Australia,AUS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.35E+12,1.39E+12,1.42E+12,1.46E+12,1.49E+12
Austria,AUT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3.82E+11,3.90E+11,3.98E+11,4.08E+11,4.14E+11
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,1.22E+12,1.22E+12,1.29E+12,1.33E+12,1.47E+12
Albania,ALB,GDP (current LCU),NY.GDP.MKTP.CN,1.43E+12,1.47E+12,1.55E+12,1.64E+12,1.69E+12
Australia,AUS,GDP (current LCU),NY.GDP.MKTP.CN,1.62E+12,1.66E+12,1.76E+12,1.84E+12,1.95E+12
Austria,AUT,GDP (current LCU),NY.GDP.MKTP.CN,3.44E+11,3.58E+11,3.69E+11,3.85E+11,3.98E+11
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19134211764,18116562465,18753469630,18053228579,18799450743
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11386850130,11861199831,13019689337,15156432310,15401830754
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,3.82E+11,3.96E+11,4.17E+11,4.55E+11,4.45E+11
Afghanistan,AFG,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,561.0336868,..,..,..,..
Albania,ALB,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,3999.651604,4155.535162,4261.223774,4427.83551,4487.604801
Australia,AUS,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,55554.92985,54843.16418,56524.34319,57251.68975,58266.41444
Austria,AUT,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,43760.65849,44772.14284,44774.18903,45544.03752,46157.51386
Afghanistan,AFG,GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,..,..,..,..,..
Albania,ALB,GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,2.776762534,3.8974284,2.543321338,3.909950402,1.349853453
Australia,AUS,GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,-1.009073982,-1.281192637,3.065430371,1.286784644,1.772392558
Austria,AUT,GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,-0.512248469,2.311401112,0.004570235,1.719402424,1.346995939
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,590,550,530,510,520
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4390,4320,4290,4860,5230
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,60490,54090,51480,53070,54910
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,47480,46240,45040,49010,51010
Afghanistan,AFG,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,..,..,2085.487571,..,..
Albania,ALB,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,12016.2976,12484.6242,12802.14831,13302.70596,13482.27299
Australia,AUS,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,46277.69813,45684.79166,47085.22714,47691.11262,48536.38635
Austria,AUT,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,52450.23877,53662.57417,53665.02668,54587.74445,55323.03915
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2110,2000,2090,2100,2190
Albania,ALB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,11800,12280,12800,13480,13820
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,45310,46140,47090,48600,50090
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,49370,52680,53670,56400,57870
Afghanistan,AFG,"GNI, PPP (constant 2017 international $)",NY.GNP.MKTP.PP.KD,..,..,75695088355,..,..
Albania,ALB,"GNI, PPP (constant 2017 international $)",NY.GNP.MKTP.PP.KD,34615384551,35907040138,36786422672,38130557092,38480982237
Australia,AUS,"GNI, PPP (constant 2017 international $)",NY.GNP.MKTP.PP.KD,1.10E+12,1.11E+12,1.16E+12,1.19E+12,1.23E+12
Austria,AUT,"GNI, PPP (constant 2017 international $)",NY.GNP.MKTP.PP.KD,4.53E+11,4.69E+11,4.72E+11,4.83E+11,4.91E+11
